date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:26	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Aug%202023%2006:15:26%20GMT	https://denny-bella.dgsign.id/robots.txt		(from )
13:15:27	943544/943544	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2006:15:26%20GMT	https://denny-bella.dgsign.id/	C:/My%20Web%20Sites/nikah/denny-bella.dgsign.id/index.html	(from )
13:15:27	15611/15611	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2021:20:41%20GMT	https://dgsign.space/wp-content/plugins/dynamic-content-for-elementor/assets/css/animations.css?ver=2.10.6	C:/My%20Web%20Sites/nikah/dgsign.space/wp-content/plugins/dynamic-content-for-elementor/assets/css/animations5d00.css	(from https://denny-bella.dgsign.id/)
13:15:27	94596/94596	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2021:21:07%20GMT	https://dgsign.space/wp-content/plugins/weddingpress/assets/css/modules/bdt-uikit.css?ver=3.15.1	C:/My%20Web%20Sites/nikah/dgsign.space/wp-content/plugins/weddingpress/assets/css/modules/bdt-uikit5829.css	(from https://denny-bella.dgsign.id/)
13:15:28	38644/38644	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2021:21:07%20GMT	https://dgsign.space/wp-content/plugins/weddingpress/assets/css/modules/ep-helper.css?ver=3.1.4	C:/My%20Web%20Sites/nikah/dgsign.space/wp-content/plugins/weddingpress/assets/css/modules/ep-helperaeb9.css	(from https://denny-bella.dgsign.id/)
13:15:28	97517/97517	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2021:26:06%20GMT	https://dgsign.space/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/My%20Web%20Sites/nikah/dgsign.space/wp-includes/css/dist/block-library/style.min3781.css	(from https://denny-bella.dgsign.id/)
13:15:28	291/291	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2021:26:05%20GMT	https://dgsign.space/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/My%20Web%20Sites/nikah/dgsign.space/wp-includes/css/classic-themes.min3781.css	(from https://denny-bella.dgsign.id/)
13:15:28	25469/25469	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jul%202023%2007:00:57%20GMT	https://dgsign.space/wp-content/uploads/useanyfont/uaf.css?ver=1690614057	C:/My%20Web%20Sites/nikah/dgsign.space/wp-content/uploads/useanyfont/uaf30b6.css	(from https://denny-bella.dgsign.id/)
13:15:28	6236/6236	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2021:21:06%20GMT	https://dgsign.space/wp-content/plugins/weddingpress/assets/css/exad-styles.min.css?ver=6.2.2	C:/My%20Web%20Sites/nikah/dgsign.space/wp-content/plugins/weddingpress/assets/css/exad-styles.min3781.css	(from https://denny-bella.dgsign.id/)
13:15:29	54872/54872	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2021:21:07%20GMT	https://dgsign.space/wp-content/plugins/weddingpress/addons/comment-kit2//css/cui_style.css?ver=1.0.0	C:/My%20Web%20Sites/nikah/dgsign.space/wp-content/plugins/weddingpress/addons/comment-kit2/css/cui_style8a54.css	(from https://denny-bella.dgsign.id/)
